GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioUtilizadorInMemory,114,0,10,0,24,0,11,0,6,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioAreaActividadeInMemory,118,0,14,0,29,0,15,0,8,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioCandidaturaInMemory,26,0,2,0,11,0,8,0,7,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioColaboradorInMemory,174,0,16,0,40,0,18,0,10,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioCaracterizacaoCTInMemory,79,0,8,0,22,0,13,0,9,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioGrauProficienciaInMemory,60,0,6,0,19,0,13,0,10,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioEnderecoPostalInMemory,92,0,10,0,21,0,11,0,6,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioAdministrativoInMemory,119,0,10,0,27,0,11,0,6,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioFreelancerInMemory,212,0,24,0,49,0,26,0,14,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,FabricaRepositoriosInMemory,37,0,0,0,18,0,18,0,18,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioReconhecimentoGPInMemory,109,0,14,0,31,0,17,0,10,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioOrganizacaoInMemory,113,0,10,0,25,0,12,0,7,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioCompetenciaTecnicaInMemory,121,65,13,7,27,16,13,7,6,4
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioCategoriaTarefaInMemory,125,0,16,0,31,0,16,0,8,0
T4J-Grupo2,com.grupo2.t4j.persistence.inmemory,RepositorioHabilitacaoAcademicaInMemory,177,0,18,0,45,0,20,0,11,0
T4J-Grupo2,com.grupo2.t4j.utils,Constants,3,0,0,0,1,0,1,0,1,0
T4J-Grupo2,com.grupo2.t4j.utils,DBConnectionHandler,154,0,12,0,54,0,10,0,4,0
T4J-Grupo2,com.grupo2.t4j.utils,Response,15,0,0,0,6,0,3,0,3,0
T4J-Grupo2,com.grupo2.t4j.network,HttpConnection.new Object() {...},33,0,0,0,1,0,1,0,1,0
T4J-Grupo2,com.grupo2.t4j.network,HttpStatusCode,3,0,0,0,1,0,1,0,1,0
T4J-Grupo2,com.grupo2.t4j.network,HttpRequest,37,0,0,0,13,0,7,0,7,0
T4J-Grupo2,com.grupo2.t4j.network,HttpConnection,143,0,9,0,52,0,10,0,4,0
T4J-Grupo2,com.grupo2.t4j.network,HttpResponse,23,0,0,0,10,0,5,0,5,0
T4J-Grupo2,com.grupo2.t4j.network,HttpRequestType,58,0,0,0,5,0,4,0,4,0
